</S>       </s rsh 
KUBÁNCI       k u b aa n c i 
KUBÁNSKOU       k u b aa n s k ow 
KUBÁNSKÉ       k u b aa n s k ee 
KUBÁNSKÉHO       k u b aa n s k ee h o 
KUBÁŇSKÉ       k u b aa nj s k ee 
KUBÍK       k u b ii k 
KUCHTIL       k u x tj i l 
KUCHYNI       k u x i nj i 
KUCHYNÍCH       k u x i nj ii x 
KUCHYNĚ       k u x i nj e 
KUCHÁM       k u x aa m 
KUDY       k u d i 
KUDYMA       k u d i m a 
KUFR       k u f r 
KUFREM       k u f r e m 
KUFRU       k u f r u 
KUKAČKÁCH       k u k a ch k aa x 
KULAJDU       k u l a j d u 
KULOMET       k u l o m e t 
KULOVNICE       k u l o v nj i c e 
KULOVNICI       k u l o v nj i c i 
KULTURNÍ       k u l t u r nj ii 
KULTURNÍHO       k u l t u r nj ii h o 
KULTURTNÍ       k u l t u r t nj ii 
KULTURU       k u l t u r u 
KUNÍNA       k u nj ii n a 
KUP       k u p 
KUPKY       k u p k i 
KUPODIVU       k u p o dj i v u 
KUPOVAL       k u p o v a l 
KUPOVALA       k u p o v a l a 
KUPOVAT       k u p o v a t 
KUPOVÁNÍ       k u p o v aa nj ii 
KUPTE       k u p t e 
KUPUJEŠ       k u p u j e sh 
KUPUJOU       k u p u j ow 
KUPY       k u p i 
KUPÉ       k u p ee 
KUPÍM       k u p ii m 
KUPÓNOVÉ       k u p o n o v ee 
KURNIK       k u r nj i k 
KURT       k u r t 
KURZ       k u r s 
KURZU       k u r z u 
KURŇA       k u r nj a 
KUS       k u s 
KUSY       k u s i 
KUSŮ       k u s uu 
KUŘAT       k u rzh a t 
KUŘE       k u rzh e 
KUŘECÍ       k u rzh e c ii 
KVALIFIKACI       k v a l i f i k a c i 
KVALIFIKOVANÝCH       k v a l i f i k o v a n ii x 
KVALITNÍ       k v a l i t nj ii 
KVALITNĚJŠÍ       k v a l i t nj e j sh ii 
KVALITU       k v a l i t u 
KVANTOVOU       k v a n t o v ow 
KVULI       k v u l i 
KVÍDO       k v ii d o 
KVÍTKA       k v ii t k a 
KVÍTKO       k v ii t k o 
KVÍTKÁM       k v ii t k aa m 
KVÚLI       k v uu l i 
KVĚTEN       k v j e t e n 
KVĚTIN       k v j e tj i n 
KVĚTINY       k v j e tj i n i 
KVĚTINÁČE       k v j e tj i n aa ch e 
KVĚTNA       k v j e t n a 
KVĚTUŠ       k v j e t u sh 
KVĚTY       k v j e t i 
KVĚTÁK       k v j e t aa k 
KVĚTĚ       k v j e tj e 
KVŮLI       k v uu l i 
KYJOVA       k i j o v a 
KYKULE       k i k u l e 
KYKY       k i k i 
KYM       k i m 
KYSELÉHO       k i s e l ee h o 
KYSELÝ       k i s e l ii 
KYSLÍKOVÝMI       k i s l ii k o v ii m i 
KYTARU       k i t a r u 
KYTICE       k i tj i c e 
KYTIČKU       k i tj i ch k u 
KYTKA       k i t k a 
KYČLÍ       k i ch l ii 
KÁBL       k aa b l 
KÁDRUJE       k aa d r u j e 
KÁJA       k aa j a 
KÁMOŠ       k aa m o sh 
KÁMOŠKOU       k aa m o sh k ow 
KÁRCE       k aa r c e 
KÁVY       k aa v i 
KÁZAT       k aa z a t 
KÁČKO       k aa ch k o 
KÚPIL       k uu p i l 
KÚPU       k uu p u 
KÚSEK       k uu s e k 
KÝBLE       k ii b l e 
KÝBLU       k ii b l u 
KÝM       k ii m 
KÝVLA       k ii v l a 
KŇÁKALOVÁ       k nj aa k a l o v aa 
KŘEHKOU       k rsh e x k ow 
KŘENOVÁ       k rsh e n o v aa 
KŘESLA       k rsh e s l a 
KŘESLE       k rsh e s l e 
KŘEST       k rsh e s t 
KŘESŤANSKÁ       k rsh e s tj a n s k aa 
KŘESŤANSKÝCH       k rsh e s tj a n s k ii x 
KŘEČE       k rsh e ch e 
KŘEČKU       k rsh e ch k u 
KŘEČOVITÝ       k rsh e ch o v i t ii 
KŘIDÝLKA       k rsh i d ii l k a 
KŘIVD       k rsh i f t 
KŘIČET       k rsh i ch e t 
KŘIŽÍKOVA       k rsh i zh ii k o v a 
KŘUPAVÝ       k rsh u p a v ii 
KŘUPU       k rsh u p u 
KŘÍDLA       k rsh ii d l a 
KŘÍŽKY       k rsh ii sh k i 
KŠEFTY       k sh e f t i 
KŮL       k uu l 
KŮLNU       k uu l n u 
KŮŇ       k uu nj 
KŮŘE       k uu rzh e 
KŮŽE       k uu zh e 
KŮŽÍ       k uu zh ii 
L       l 
LABEM       l a b e m 
LABORATORNÍ       l a b o r a t o r nj ii 
LABORATOŘ       l a b o r a t o rsh 
LABORATOŘE       l a b o r a t o rzh e 
LABUTI       l a b u tj i 
LABUTĚ       l a b u tj e 
LABUŤ       l a b u tj 
LACINÝ       l a c i n ii 
LADA       l a d a 
LAHODNÉ       l a h o d n ee 
LAHVIČEK       l a h v i ch e k 
LAHVIČKU       l a h v i ch k u 
LAJKNE       l a j k n e 
LAJNĚ       l a j nj e 
LAMA       l a m a 
LAMPU       l a m p u 
LAN       l a n 
LANOVKU       l a n o f k u 
LATINSKÉ       l a tj i n s k ee 
LATĚ       l a tj e 
LAURA       l aw r a 
LAURINKU       l aw r i ng k u 
LAURIS       l aw r i s 
LAURITA       l aw r i t a 
LAURO       l aw r o 
LAUROVÁ       l aw r o v aa 
LAURU       l aw r u 
LAURÍTINĚ       l aw r ii tj i nj e 
LAURÍTOU       l aw r ii t ow 
LAVIČCE       l a v i ch c e 
LAVIČKA       l a v i ch k a 
LAVIČKU       l a v i ch k u 
LAZARSKÁ       l a z a r s k aa 
LAZARSKÉ       l a z a r s k ee 
LAŠKOVÝ       l a sh k o v ii 
LAŤASOVI       l a tj a s o v i 
LECCOS       l e c o s 
LEDA       l e d a 
LEDEČ       l e d e ch 
LEDNA       l e d n a 
LEDNICE       l e d nj i c e 
LEDNIČCE       l e d nj i ch c e 
LEDNIČKU       l e d nj i ch k u 
LEDOVEJ       l e d o v e j 
LEDUJU       l e d u j u 
LEDVIN       l e d v i n 
LEDVINY       l e d v i n i 
LEGISLATIVU       l e g i s l a tj i v u 
LEGRACE       l e g r a c e 
LEGÁLNÍ       l e g aa l nj ii 
LEHCE       l e x c e 
LEHKOMYSLNÉ       l e x k o m i s l n ee 
LEHKÁ       l e x k aa 
LEHKÉ       l e x k ee 
LEHKÝM       l e x k ii m 
LEHL       l e h l 
LEHLA       l e h l a 
LEHLI       l e h l i 
LEHNE       l e h n e 
LEHNI       l e h nj i 
LEHNOUT       l e h n ow t 
LEHÁTKA       l e h aa t k a 
LEJNA       l e j n a 
LEJTKO       l e j t k o 
LEKLA       l e k l a 
LEKNE       l e k n e 
LEMON       l e m o n 
LEMONA       l e m o n a 
LENI       l e nj i 
LENIČKO       l e nj i ch k o 
LENKA       l e ng k a 
LENOŠKY       l e n o sh k i 
LENČA       l e n ch a 
LEONKA       l e o ng k a 
LEPŠÍ       l e p sh ii 
LEPŠÍCH       l e p sh ii x 
LEPŠÍHO       l e p sh ii h o 
LEPŠÍM       l e p sh ii m 
LERITI       l e r i tj i 
LESA       l e s a 
LESE       l e s e 
LESEM       l e s e m 
LESÍCH       l e s ii x 
LESÍKU       l e s ii k u 
LESŮ       l e s uu 
LET       l e t 
LETADLE       l e t a d l e 
LETADLEM       l e t a d l e m 
LETCŮ       l e t c uu 
LETECH       l e t e x 
LETEM       l e t e m 
LETENKA       l e t e ng k a 
LETENSKÉ       l e t e n s k ee 
LETENSKÉHO       l e t e n s k ee h o 
LETIM       l e tj i m 
LETIŠTI       l e tj i sh tj i 
LETIŠTÍCH       l e tj i sh tj ii x 
LETIŠTĚ       l e tj i sh tj e 
LETNOU       l e t n ow 
LETNÉ       l e t n ee 
LETNÍ       l e t nj ii 
LETNÍM       l e t nj ii m 
LETOPOČTY       l e t o p o ch t i 
LETOS       l e t o s 
LETOŠNÍ       l e t o sh nj ii 
LETOŠNÍHO       l e t o sh nj ii h o 
LETOŠNÍM       l e t o sh nj ii m 
LETY       l e t i 
LETÁKU       l e t aa k u 
LETÉMU       l e t ee m u 
LETÍ       l e tj ii 
LETÍŠ       l e tj ii sh 
LETĚL       l e tj e l 
LETĚLI       l e tj e l i 
LETĚT       l e tj e t 
LETŇAN       l e t nj a n 
LETŇANSKÁ       l e t nj a n s k aa 
LETŇANSKÉ       l e t nj a n s k ee 
LETŇANY       l e t nj a n i 
LETŇÁN       l e t nj aa n 
LEUKEMII       l e u k e m i i 
LEVA       l e v a 
LEVNNEJ       l e v n e j 
LEVNOU       l e v n ow 
LEVNÁ       l e v n aa 
LEVNÉ       l e v n ee 
LEVNÝ       l e v n ii 
LEVNĚ       l e v nj e 
LEVNĚJ       l e v nj e j 
LEVNĚJŠ       l e v nj e j sh 
LEVNĚJŠÍ       l e v nj e j sh ii 
LEVO       l e v o 
LEVOU       l e v ow 
LEVYM       l e v i m 
LEVÁ       l e v aa 
LEVÉ       l e v ee 
LEVÉHO       l e v ee h o 
LEVÝ       l e v ii 
LEVÝM       l e v ii m 
LEZE       l e z e 
LEZECKÉ       l e z e c k ee 
LEZLA       l e z l a 
LEČ       l e ch 
LEČA       l e ch a 
LEŠANSKÁ       l e sh a n s k aa 
LEŽEL       l e zh e l 
LEŽENÍ       l e zh e nj ii 
LEŽET       l e zh e t 
LEŽIM       l e zh i m 
LEŽÍ       l e zh ii 
LEŽÍM       l e zh ii m 
LEŽÍME       l e zh ii m e 
LEŽÍŠ       l e zh ii sh 
LHOTA       l h o t a 
LHOTKA       l h o t k a 
LHOTKY       l h o t k i 
LHOTY       l h o t i 
LHOTĚ       l h o tj e 
LHÁŘ       l h aa rsh 
LHŮTA       l h uu t a 
LIBERA       l i b e r a 
LIBERALIZMU       l i b e r a l i z m u 
LIBERCI       l i b e r c i 
LIBEREC       l i b e r e c 
LIBIŠE       l i b i sh e 
LIBOVOLNÝ       l i b o v o l n ii 
LICENCI       l i c e n c i 
LICHOTNICE       l i x o t nj i c e 
LICHOVIC       l i x o v i c 
LICHOŘEŘIŠNICI       l i x o rzh e rzh i sh nj i c i 
LIDECH       l i d e x 
LIDEM       l i d e m 
LIDI       l i dj i 
LIDICE       l i dj i c e 
LIDLA       l i d l a 
LIDLU       l i d l u 
LIDMA       l i d m a 
LIDMI       l i d m i 
LIDOVCŮ       l i d o f c uu 
LIDSKOU       l i t s k ow 
LIDSKÁ       l i t s k aa 
LIDSKÉ       l i t s k ee 
LIDSKÉHO       l i t s k ee h o 
LIDSKÝ       l i t s k ii 
LIDSKÝCH       l i t s k ii x 
LIDSTVA       l i t s t v a 
LIDSTVO       l i t s t v o 
LIDU       l i d u 
LIDUŠKU       l i d u sh k u 
LIDÉ       l i d ee 
LIDÍ       l i dj ii 
LIGA       l i g a 
LIGU       l i g u 
LIGY       l i g i 
LIHOVÝ       l i h o v ii 
LIJE       l i j e 
LIJÁKU       l i j aa k u 
LIKVIDUJOU       l i k v i d u j ow 
LIKÉR       l i k ee r 
LILO       l i l o 
LIMITU       l i m i t u 
LIMITY       l i m i t i 
LINCE       l i n c e 
LINDYHO       l i n d i h o 
LINEÁRNÍ       l i n e aa r nj ii 
LINGVISTŮ       l i ng g v i s t uu 
LINKA       l i ng k a 
LINKU       l i ng k u 
LIPANSKÁ       l i p a n s k aa 
LIST       l i s t 
LISTINA       l i s tj i n a 
LISTINĚ       l i s tj i nj e 
LISTNATÉ       l i s t n a t ee 
LISTOPADU       l i s t o p a d u 
LISTOVALA       l i s t o v a l a 
LISTOVEJ       l i s t o v e j 
LISTÍ       l i s tj ii 
LITERATUŘE       l i t e r a t u rzh e 
LITERATŮŘE       l i t e r a t uu rzh e 
LITR       l i t r 
LITRU       l i t r u 
LITRY       l i t r i 
LITRŮ       l i t r uu 
LITUJE       l i t u j e 
LITUJU       l i t u j u 
LITŇANSKÁ       l i t nj a n s k aa 
LIVIE       l i v i e 
LIZE       l i z e 
LIŠKOVÉ       l i sh k o v ee 
LIŠÍ       l i sh ii 
LODÍCH       l o dj ii x 
LODĚ       l o dj e 
LOGICKÝ       l o g i c k ii 
LOGIKA       l o g i k a 
LOGIKY       l o g i k i 
LOKET       l o k e t 
LOKTECH       l o k t e x 
LOMENO       l o m e n o 
LOMNÉ       l o m n ee 
LONDÝNA       l o n d ii n a 
LONDÝNSKÝ       l o n d ii n s k ii 
LONDÝNSKÝCH       l o n d ii n s k ii x 
LONGOVA       l o ng g o v a 
LONI       l o nj i 
LOUDÁ       l ow d aa 
LOUČCE       l ow ch c e 
LOUČÍ       l ow ch ii 
LOUČÍME       l ow ch ii m e 
LOUŽE       l ow zh e 
LOĎ       l o tj 
LOŇSKA       l o nj s k a 
LOŽI       l o zh i 
LOŽNICI       l o zh nj i c i 
LUBINU       l u b i n u 
LUBOŠ       l u b o sh 
LUBOŠEM       l u b o sh e m 
LUBOŠOVI       l u b o sh o v i 
LUCERNĚ       l u c e r nj e 
LUCI       l u c i 
LUCINĚ       l u c i nj e 
LUCKA       l u c k a 
LUCKOU       l u c k ow 
LUCKY       l u c k i 
LUDKOU       l u t k ow 
LUFTU       l u f t u 
LUFTĚ       l u f tj e 
LUKA       l u k a 
LUKEŘOVIC       l u k e rzh o v i c 
LUKÁŠ       l u k aa sh 
LUKÁŠE       l u k aa sh e 
LUKÁŠEM       l u k aa sh e m 
LUKÁŠOVI       l u k aa sh o v i 
LUMPÁCI       l u m p aa c i 
LUMPÁCKY       l u m p aa c k i 
LUNÁRNÍ       l u n aa r nj ii 
LUNÁRNĚ       l u n aa r nj e 
LUSTRAČNÍMU       l u s t r a ch nj ii m u 
LUXOVAL       l u k s o v a l 
LUXUS       l u k s u s 
LUXUSNÍ       l u k s u s nj ii 
LUĎÁNKU       l u dj aa ng k u 
LUŽICKÉ       l u zh i c k ee 
LUŽIN       l u zh i n 
LUŽINY       l u zh i n i 
LVICI       l v i c i 
LYMFODRENÁŽ       l i m f o d r e n aa sh 
LYSŮ       l i s uu 
LYŽAŘSKÝ       l i zh a rsh s k ii 
LZE       l z e 
LÁCHING       l aa x i ng k 
LÁDUJE       l aa d u j e 
LÁDVÍ       l aa d v ii 
LÁHEV       l aa h e f 
LÁMAT       l aa m a t 
LÁME       l aa m e 
LÁSKO       l aa s k o 
LÁSKY       l aa s k i 
LÁSKÁCH       l aa s k aa x 
LÁTKA       l aa t k a 
LÁTKU       l aa t k u 
LÁTKY       l aa t k i 
LÁVKU       l aa f k u 
LÁZEŇSKÉ       l aa z e nj s k ee 
LÁZNÍ       l aa z nj ii 
LÁĎO       l aa dj o 
LÉBL       l ee b l 
LÉKAMA       l ee k a m a 
LÉKAŘE       l ee k a rzh e 
LÉKAŘSKÁ       l ee k a rsh s k aa 
LÉKAŘSKÝ       l ee k a rsh s k ii 
LÉKAŘŮ       l ee k a rzh uu 
LÉKY       l ee k i 
LÉKÁREN       l ee k aa r e n 
LÉKÁRNÁCH       l ee k aa r n aa x 
LÉKÁRNĚ       l ee k aa r nj e 
LÉKŮ       l ee k uu 
LÉTA       l ee t a 
LÉTO       l ee t o 
LÉTĚ       l ee tj e 
LÉČBA       l ee ch b a 
LÉČBĚ       l ee ch b j e 
LÉČEBNY       l ee ch e b n i 
LÉČEBNĚ       l ee ch e b nj e 
LÉČEJ       l ee ch e j 
LÉČILI       l ee ch i l i 
LÉČIT       l ee ch i t 
LÉČIVKA       l ee ch i f k a 
LÍBIJOU       l ii b i j ow 
LÍBILO       l ii b i l o 
LÍBIT       l ii b i t 
LÍBÁŠ       l ii b aa sh 
LÍBÍ       l ii b ii 
LÍNÁ       l ii n aa 
LÍNÉ       l ii n ee 
LÍP       l ii p 
LÍPU       l ii p u 
LÍSKAL       l ii s k a l 
LÍSTEK       l ii s t e k 
LÍSTKU       l ii s t k u 
LÍSTKY       l ii s t k i 
LÍSTKŮ       l ii s t k uu 
LÍTA       l ii t a 
LÍTALY       l ii t a l i 
LÍTAT       l ii t a t 
LÍTO       l ii t o 
LÍTÁNÍ       l ii t aa nj ii 
LÍČILA       l ii ch i l a 
LÍŠNĚ       l ii sh nj e 
LŮŽEK       l uu zh e k 
LŮŽKA       l uu sh k a 
LŽEŠ       l zh e sh 
LŽÍCI       l zh ii c i 
M       m 
MADRID       m a d r i t 
MAGNESII       m a g n e s i i 
MAGÍN       m a g ii n 
MAHON       m a h o n 
MAJ       m a j 
MAJDA       m a j d a 
MAJDO       m a j d o 
MAJDOU       m a j d ow 
MAJDU       m a j d u 
MAJDULINDO       m a j d u l i n d o 
MAJDULINKA       m a j d u l i ng k a 
MAJDULINKO       m a j d u l i ng k o 
MAJDULKA       m a j d u l k a 
MAJDULÍNO       m a j d u l ii n o 
MAJETEK       m a j e t e k 
MAJETKEM       m a j e t k e m 
MAJETKOVÝCH       m a j e t k o v ii x 
MAJETKOVÝVCH       m a j e t k o v ii f x 
MAJETKU       m a j e t k u 
MAJITEL       m a j i t e l 
MAJITELE       m a j i t e l e 
MAJITELŮ       m a j i t e l uu 
MAJL       m a j l 
MAJORA       m a j o r a 
MAJORITNÍ       m a j o r i t nj ii 
MAJORSKÁ       m a j o r s k aa 
MAJÍ       m a j ii 
MAKALA       m a k a l a 
MAKAT       m a k a t 
MAKEJ       m a k e j 
MAKETU       m a k e t u 
MAKOVEJ       m a k o v e j 
MAKROEKONOMICKÉHO       m a k r o e k o n o m i c k ee h o 
MALEIROVÝCH       m a l e i r o v ii x 
MALEJ       m a l e j 
MALEŠOV       m a l e sh o f 
MALINKATÁ       m a l i ng k a t aa 
MALINKO       m a l i ng k o 
MALINKU       m a l i ng k u 
MALINKÉ       m a l i ng k ee 
MALINKÝ       m a l i ng k ii 
MALINKÝMU       m a l i ng k ii m u 
MALINY       m a l i n i 
MALINÁČ       m a l i n aa ch 
MALINÁČE       m a l i n aa ch e 
MALINÁČŮ       m a l i n aa ch uu 
MALIČKO       m a l i ch k o 
MALIČKÝ       m a l i ch k ii 
MALOSTRANSKOU       m a l o s t r a n s k ow 
MALOSTRANSKÁ       m a l o s t r a n s k aa 
MALOSTRANSKÉ       m a l o s t r a n s k ee 
MALOSTRANSKÉHO       m a l o s t r a n s k ee h o 
MALOSTRANSKÝ       m a l o s t r a n s k ii 
MALOSTRANSKÝHO       m a l o s t r a n s k ii h o 
MALOU       m a l ow 
MALOVALI       m a l o v a l i 
MALOVANKA       m a l o v a ng k a 
MALOVANKY       m a l o v a ng k i 
MALOVAT       m a l o v a t 
MALOVÁNÍM       m a l o v aa nj ii m 
MALTOU       m a l t ow 
MALUJEŠ       m a l u j e sh 
MALUJOU       m a l u j ow 
MALYM       m a l i m 
MALÁ       m a l aa 
MALÉ       m a l ee 
MALÍ       m a l ii 
MALÍČEK       m a l ii ch e k 
MALÚČKÉ       m a l uu ch k ee 
MALÝ       m a l ii 
MALÝCH       m a l ii x 
MALÝM       m a l ii m 
MAM       m a m 
MAMCE       m a m c e 
MAMI       m a m i 
MAMINA       m a m i n a 
MAMINCE       m a m i n c e 
MAMINKA       m a m i ng k a 
MAMINKO       m a m i ng k o 
MAMINKOU       m a m i ng k ow 
MAMINKU       m a m i ng k u 
MAMINĚ       m a m i nj e 
MAMKA       m a m k a 
MAMKOU       m a m k ow 
MAMKU       m a m k u 
MAMKY       m a m k i 
MAMÍ       m a m ii 
MAMČA       m a m ch a 
MANAŽER       m a n a zh e r 
MANAŽERŮ       m a n a zh e r uu 
MANDARINKY       m a n d a r i ng k i 
MANDLE       m a n d l e 
MANINY       m a nj i n i 
MANSFELDL       m a n s f e l d l 
MANUÁLNÍ       m a n u aa l nj ii 
MANŽEL       m a n zh e l 
MANŽELA       m a n zh e l a 
MANŽELEM       m a n zh e l e m 
MANŽELKA       m a n zh e l k a 
MANŽELKOU       m a n zh e l k ow 
MANŽELKU       m a n zh e l k u 
MANŽELSTVÍ       m a n zh e l s t v ii 
MAPOU       m a p ow 
MAPY       m a p i 
MARATON       m a r a t o n 
MARCO       m a r c o 
MAREK       m a r e k 
MAREČEK       m a r e ch e k 
MAREČKA       m a r e ch k a 
MARGARITKY       m a r g a r i t k i 
MARIELOVÝCH       m a r i e l o v ii x 
MARIJÁNKA       m a r i j aa ng k a 
MARINOVANÁ       m a r i n o v a n aa 
MARIÍ       m a r i ii 
MARJA       m a r j a 
MARJÁ       m a r j aa 
MARKETINGU       m a r k e t i ng g u 
MARKU       m a r k u 
MARKÉT       m a r k ee t 
MARKÉTA       m a r k ee t a 
MARKÉTKO       m a r k ee t k o 
MARKÉTOU       m a r k ee t ow 
MARNÝ       m a r n ii 
MARNĚ       m a r nj e 
MARODIL       m a r o dj i l 
MARTA       m a r t a 
MARTI       m a r tj i 
MARTIN       m a r tj i n 
MARTINA       m a r tj i n a 
MARTINE       m a r tj i n e 
MARTINEM       m a r tj i n e m 
MARTINKO       m a r tj i ng k o 
MARTINKU       m a r tj i ng k u 
MARTINOVI       m a r tj i n o v i 
MARTINOVY       m a r tj i n o v i 
MARTINĚ       m a r tj i nj e 
MARTOVA       m a r t o v a 
MARTY       m a r t i 
MARTÍNKU       m a r tj ii ng k u 
MARU       m a r u 
MARUŠKA       m a r u sh k a 
MARUŠKOU       m a r u sh k ow 
MARUŠKU       m a r u sh k u 
MARŤO       m a r tj o 
MARŤULI       m a r tj u l i 
MARŤULINKO       m a r tj u l i ng k o 
MARŤULKO       m a r tj u l k o 
MARŤULÍKU       m a r tj u l ii k u 
MARŤULÍNKU       m a r tj u l ii ng k u 
MASA       m a s a 
MASARYKA       m a s a r i k a 
MASARYKOVO       m a s a r i k o v o 
MASARYKOVU       m a s a r i k o v u 
MASIVNÍ       m a s i v nj ii 
MASIVU       m a s i v u 
MASKOVANÝCH       m a s k o v a n ii x 
MASO       m a s o 
MASOVÉ       m a s o v ee 
MASOVÉHO       m a s o v ee h o 
MASOVÝ       m a s o v ii 
MAST       m a s t 
MASTIČKAMA       m a s tj i ch k a m a 
MASU       m a s u 
MASÁŽE       m a s aa zh e 
MASÁŽI       m a s aa zh i 
MATCE       m a t c e 
MATEMATICKO       m a t e m a t i c k o 
MATEMATIKA       m a t e m a t i k a 
MATEMATIKU       m a t e m a t i k u 
MATEMATIKY       m a t e m a t i k i 
MATERHORN       m a t e r h o r n 
MATERIÁL       m a t e r i aa l 
MATEŘSTVÍ       m a t e rsh s t v ii 
MATFYZ       m a t f i s 
MATFYZE       m a t f i z e 
MATFYZU       m a t f i z u 
MATFYZÁCI       m a t f i z aa c i 
MATFYZÁKAMA       m a t f i z aa k a m a 
MATI       m a t i 
MATICE       m a t i c e 
MATICÍCH       m a t i c ii x 
MATIKA       m a t i k a 
MATIKU       m a t i k u 
MATIKY       m a t i k i 
MATKA       m a t k a 
MATRACI       m a t r a c i 
MATRAČKU       m a t r a ch k u 
MATRHORNÍ       m a t r h o r nj ii 
MATU       m a t u 
MATULINKO       m a t u l i ng k o 
MATULKO       m a t u l k o 
MATULÍNU       m a t u l ii n u 
MATURICH       m a t u r i x 
MATURIT       m a t u r i t 
MATURITNÍ       m a t u r i t nj ii 
MATURITOU       m a t u r i t ow 
MATURITU       m a t u r i t u 
MATURITY       m a t u r i t i 
MATURITÁCH       m a t u r i t aa x 
MATURITÁM       m a t u r i t aa m 
MATUROVAT       m a t u r o v a t 
MATY       m a t i 
MATYLDA       m a t i l d a 
MATYLDOU       m a t i l d ow 
MATYLDU       m a t i l d u 
MATYLDY       m a t i l d i 
MATYS       m a t i s 
MATĚJ       m a tj e j 
MAX       m a k s 
MAXIMUM       m a k s i m u m 
MAXIMY       m a k s i m i 
MAXIMÁLNÍ       m a k s i m aa l nj ii 
MAXIMÁLNĚ       m a k s i m aa l nj e 
MAZEC       m a z e c 
MAZLIVÁ       m a z l i v aa 
MAZLÍCI       m a z l ii c i 
MAČKAT       m a ch k a t 
MAČKEJ       m a ch k e j 
MAČKÁM       m a ch k aa m 
MAĎARSKO       m a dj a r s k o 
MAĎARSKU       m a dj a r s k u 
MAĎARŠTÍ       m a dj a r sh tj ii 
MAŠ       m a sh 
MAŠEK       m a sh e k 
MAŠINA       m a sh i n a 
MAŽE       m a zh e 
MAŽU       m a zh u 
MDLO       m d l o 
MECHANIKA       m e x a nj i k a 
MED       m e t 
MEDICINU       m e d i c i n u 
MEDICÍNSKÉ       m e d i c ii n s k ee 
MEDITACÍ       m e d i t a c ii 
MEDITATIVNÍ       m e d i t a tj i v nj ii 
MEDIÁLNÍM       m e d i aa l nj ii m 
MEDMED       m e d m e t 
MEDOVINU       m e d o v i n u 
MEDOVNÍK       m e d o v nj ii k 
MEGA       m e g a 
MEGÍ       m e g ii 
MEJ       m e j 
MEJDLA       m e j d l a 
MEJDLO       m e j d l o 
MEJL       m e j l 
MEJLA       m e j l a 
MEJLEM       m e j l e m 
MEJLU       m e j l u 
MEJLŮ       m e j l uu 
MELOUN       m e l ow n 
MEMÁM       m e m aa m 
MENZY       m e n z i 
MENŠÍ       m e n sh ii 
MENŠÍCH       m e n sh ii x 
MENŠÍM       m e n sh ii m 
